team,season_points,goals_for,goals_against,goal_diff,rank,%_matches_won
Man City,91,96,34,62,1.0,73.68421052631578
Arsenal,89,91,29,62,2.0,73.68421052631578
Liverpool,82,86,41,45,3.0,63.1578947368421
Aston Villa,68,76,61,15,4.0,52.63157894736842
Tottenham,66,74,61,13,5.0,52.63157894736842
Chelsea,63,77,63,14,6.0,47.368421052631575
Newcastle,60,85,62,23,7.0,47.368421052631575
Man United,60,57,58,-1,8.0,47.368421052631575
West Ham,52,60,74,-14,9.0,36.84210526315789
Crystal Palace,49,57,58,-1,10.0,34.21052631578947
Brighton,48,55,62,-7,11.0,31.57894736842105
Everton,48,40,51,-11,12.0,34.21052631578947
Bournemouth,48,54,67,-13,13.0,34.21052631578947
Fulham,47,55,61,-6,14.0,34.21052631578947
Wolves,46,50,65,-15,15.0,34.21052631578947
Brentford,39,56,65,-9,16.0,26.31578947368421
Nott'm Forest,36,49,67,-18,17.0,23.684210526315788
Luton,26,52,85,-33,18.0,15.789473684210526
Burnley,24,41,78,-37,19.0,13.157894736842104
Sheffield United,16,35,104,-69,20.0,7.894736842105263
