date,home_team,away_team,goals_for,goals_against,result_fulltime,goals_for_halftime,goals_against_halftime,result_halftime,referee,shots_home,shots_away,shots_on_target_home,shots_on_target_away,fouls_home,fouls_away,corners_home,corners_away,yellows_home,yellows_away,reds_home,reds_away,goal_diff,match_id,total_fouls,total_cards,_rank_home
16/08/24,Man United,Fulham,1,0,H,0,0,D,R Jones,14,10,5,2,12,10,7,8,2,3,0,0,1,16/08/24_Man United_Fulham,21,4,15.0
17/08/24,Ipswich,Liverpool,0,2,A,0,0,D,T Robinson,7,18,2,5,9,18,2,10,3,1,0,0,-2,17/08/24_Ipswich_Liverpool,30,3,19.0
17/08/24,Arsenal,Wolves,2,0,H,1,0,H,J Gillett,18,9,6,3,17,14,8,2,2,2,0,0,2,17/08/24_Arsenal_Wolves,23,3,2.0
17/08/24,Everton,Brighton,0,3,A,0,1,A,S Hooper,9,10,1,5,8,8,1,5,1,1,1,0,-3,17/08/24_Everton_Brighton,19,3,13.0
17/08/24,Newcastle,Southampton,1,0,H,1,0,H,C Pawson,3,19,1,4,15,16,3,12,2,4,1,0,1,17/08/24_Newcastle_Southampton,28,4,5.0
17/08/24,Nott'm Forest,Bournemouth,1,1,D,1,0,H,M Oliver,14,13,8,4,17,8,2,6,1,3,0,0,0,17/08/24_Nott'm Forest_Bournemouth,26,6,7.0
17/08/24,West Ham,Aston Villa,1,2,A,1,1,D,T Harrington,14,15,3,3,18,11,5,3,1,2,0,0,-1,17/08/24_West Ham_Aston Villa,23,6,14.0
18/08/24,Brentford,Crystal Palace,2,1,H,1,0,H,S Barrott,9,14,5,6,6,15,4,7,1,5,0,0,1,18/08/24_Brentford_Crystal Palace,27,6,10.0
18/08/24,Chelsea,Man City,0,2,A,0,1,A,A Taylor,10,11,3,5,12,9,4,3,1,1,0,0,-2,18/08/24_Chelsea_Man City,14,4,4.0
19/08/24,Leicester,Tottenham,1,1,D,0,1,A,C Kavanagh,7,15,3,7,11,12,2,13,1,1,0,0,0,19/08/24_Leicester_Tottenham,26,3,18.0
24/08/24,Brighton,Man United,2,1,H,1,0,H,C Pawson,14,11,5,4,9,13,4,4,1,2,0,0,1,24/08/24_Brighton_Man United,18,4,8.0
24/08/24,Crystal Palace,West Ham,0,2,A,0,0,D,R Jones,14,18,2,3,9,17,3,3,1,1,0,0,-2,24/08/24_Crystal Palace_West Ham,30,4,12.0
24/08/24,Fulham,Leicester,2,1,H,1,1,D,D Bond,18,10,6,4,14,13,7,5,2,2,0,0,1,24/08/24_Fulham_Leicester,24,4,11.0
24/08/24,Man City,Ipswich,4,1,H,3,1,H,M Salisbury,14,1,5,1,4,15,10,1,2,3,0,0,3,24/08/24_Man City_Ipswich,29,7,3.0
24/08/24,Southampton,Nott'm Forest,0,1,A,0,0,D,S Barrott,5,23,1,8,14,14,4,10,3,3,0,0,-1,24/08/24_Southampton_Nott'm Forest,23,4,20.0
24/08/24,Tottenham,Everton,4,0,H,2,0,H,A Taylor,13,10,7,1,11,15,12,5,0,0,0,0,4,24/08/24_Tottenham_Everton,27,1,17.0
24/08/24,Aston Villa,Arsenal,0,2,A,0,0,D,M Oliver,11,9,3,4,8,15,4,1,1,3,0,0,-2,24/08/24_Aston Villa_Arsenal,23,6,6.0
25/08/24,Bournemouth,Newcastle,1,1,D,1,0,H,D Coote,16,14,4,5,19,8,8,9,2,2,0,0,0,25/08/24_Bournemouth_Newcastle,20,5,9.0
25/08/24,Wolves,Chelsea,2,6,A,2,2,D,D England,12,14,4,8,13,13,5,5,2,3,0,0,-4,25/08/24_Wolves_Chelsea,27,5,16.0
25/08/24,Liverpool,Brentford,2,0,H,1,0,H,S Attwell,19,8,8,2,10,7,9,4,2,3,0,0,2,25/08/24_Liverpool_Brentford,22,5,1.0
31/08/24,Arsenal,Brighton,1,1,D,1,0,H,C Kavanagh,11,22,7,4,12,7,3,7,3,2,1,0,0,31/08/24_Arsenal_Brighton,25,3,2.0
31/08/24,Brentford,Southampton,3,1,H,1,0,H,J Smith,20,18,7,6,10,7,2,8,2,1,0,0,2,31/08/24_Brentford_Southampton,13,1,10.0
31/08/24,Everton,Bournemouth,2,3,A,0,0,D,S Attwell,18,17,8,7,6,1,8,4,2,1,0,0,-1,31/08/24_Everton_Bournemouth,10,1,13.0
31/08/24,Ipswich,Fulham,1,1,D,1,1,D,L Smith,11,9,4,4,15,15,8,6,2,3,0,0,0,31/08/24_Ipswich_Fulham,25,6,19.0
31/08/24,Leicester,Aston Villa,1,2,A,0,1,A,D Coote,9,10,3,5,13,21,1,4,4,5,0,0,-1,31/08/24_Leicester_Aston Villa,34,9,18.0
31/08/24,Nott'm Forest,Wolves,1,1,D,1,1,D,S Hooper,16,11,5,3,15,18,7,3,3,4,0,0,0,31/08/24_Nott'm Forest_Wolves,28,5,7.0
31/08/24,West Ham,Man City,1,3,A,1,2,A,M Oliver,10,23,2,8,10,3,3,11,3,2,0,0,-2,31/08/24_West Ham_Man City,15,4,14.0
01/09/24,Chelsea,Crystal Palace,1,1,D,1,0,H,J Gillett,13,9,7,3,9,13,4,5,4,2,0,0,0,01/09/24_Chelsea_Crystal Palace,24,5,4.0
01/09/24,Newcastle,Tottenham,2,1,H,1,0,H,R Jones,9,20,3,6,16,13,7,12,4,4,0,0,1,01/09/24_Newcastle_Tottenham,29,5,5.0
01/09/24,Man United,Liverpool,0,3,A,0,2,A,A Taylor,8,11,3,3,7,7,5,2,4,1,0,0,-3,01/09/24_Man United_Liverpool,15,2,15.0
14/09/24,Southampton,Man United,0,3,A,0,2,A,S Attwell,6,20,4,10,11,14,0,7,1,4,1,0,-3,14/09/24_Southampton_Man United,25,5,20.0
14/09/24,Brighton,Ipswich,0,0,D,0,0,D,S Barrott,21,6,6,1,14,16,9,2,4,3,0,0,0,14/09/24_Brighton_Ipswich,22,4,8.0
14/09/24,Crystal Palace,Leicester,2,2,D,0,1,A,T Harrington,20,9,4,4,11,15,5,2,0,3,0,0,0,14/09/24_Crystal Palace_Leicester,30,7,12.0
14/09/24,Fulham,West Ham,1,1,D,1,0,H,T Robinson,21,11,5,3,15,18,3,2,2,3,0,0,0,14/09/24_Fulham_West Ham,28,6,11.0
14/09/24,Liverpool,Nott'm Forest,0,1,A,0,0,D,M Oliver,14,5,5,3,15,6,7,2,4,4,0,0,-1,14/09/24_Liverpool_Nott'm Forest,18,6,1.0
14/09/24,Man City,Brentford,2,1,H,2,1,H,D Bond,18,8,7,5,9,3,12,3,3,1,0,0,1,14/09/24_Man City_Brentford,17,5,3.0
14/09/24,Aston Villa,Everton,3,2,H,1,2,A,C Pawson,17,6,8,2,10,12,6,2,1,4,0,0,1,14/09/24_Aston Villa_Everton,24,5,6.0
14/09/24,Bournemouth,Chelsea,0,1,A,0,0,D,A Taylor,19,10,7,3,16,9,6,3,6,8,0,0,-1,14/09/24_Bournemouth_Chelsea,21,8,9.0
15/09/24,Tottenham,Arsenal,0,1,A,0,0,D,J Gillett,15,7,5,4,13,10,7,6,5,3,0,0,-1,15/09/24_Tottenham_Arsenal,18,5,17.0
15/09/24,Wolves,Newcastle,1,2,A,1,0,H,C Kavanagh,12,14,5,6,17,6,4,7,3,3,0,0,-1,15/09/24_Wolves_Newcastle,16,4,16.0
21/09/24,West Ham,Chelsea,0,3,A,0,2,A,S Barrott,15,12,7,5,17,9,6,5,5,2,0,0,-3,21/09/24_West Ham_Chelsea,22,7,14.0
21/09/24,Aston Villa,Wolves,3,1,H,0,1,A,T Robinson,9,10,4,4,11,16,6,5,3,6,0,0,2,21/09/24_Aston Villa_Wolves,22,8,6.0
21/09/24,Fulham,Newcastle,3,1,H,2,0,H,P Bankes,22,15,11,4,16,8,6,0,6,0,0,0,2,21/09/24_Fulham_Newcastle,16,2,11.0
21/09/24,Leicester,Everton,1,1,D,0,1,A,D England,12,16,2,5,11,12,6,1,1,2,0,0,0,21/09/24_Leicester_Everton,25,8,18.0
21/09/24,Liverpool,Bournemouth,3,0,H,3,0,H,T Harrington,19,19,13,6,10,12,3,9,1,4,0,0,3,21/09/24_Liverpool_Bournemouth,19,7,1.0
21/09/24,Southampton,Ipswich,1,1,D,1,0,H,S Allison,11,13,3,6,16,16,2,10,4,4,0,0,0,21/09/24_Southampton_Ipswich,24,7,20.0
21/09/24,Tottenham,Brentford,3,1,H,2,1,H,J Brooks,23,6,10,6,11,9,9,4,3,1,0,0,2,21/09/24_Tottenham_Brentford,24,2,17.0
21/09/24,Crystal Palace,Man United,0,0,D,0,0,D,D Coote,9,15,4,6,7,12,4,11,3,1,0,0,0,21/09/24_Crystal Palace_Man United,24,2,12.0
22/09/24,Brighton,Nott'm Forest,2,2,D,2,1,H,R Jones,14,4,3,3,12,11,9,1,3,4,0,1,0,22/09/24_Brighton_Nott'm Forest,27,7,8.0
22/09/24,Man City,Arsenal,2,2,D,1,2,A,M Oliver,33,5,11,3,7,10,8,2,3,4,0,1,0,22/09/24_Man City_Arsenal,20,8,3.0
28/09/24,Newcastle,Man City,1,1,D,0,1,A,J Gillett,11,16,4,6,14,10,5,6,4,4,0,0,0,28/09/24_Newcastle_Man City,22,4,5.0
28/09/24,Arsenal,Leicester,4,2,H,2,0,H,S Barrott,36,5,16,3,11,6,17,0,2,4,0,0,2,28/09/24_Arsenal_Leicester,11,8,2.0
28/09/24,Brentford,West Ham,1,1,D,1,0,H,S Hooper,8,19,3,3,2,11,7,7,2,3,0,0,0,28/09/24_Brentford_West Ham,20,5,10.0
28/09/24,Chelsea,Brighton,4,2,H,4,2,H,P Bankes,15,15,7,5,11,8,8,2,3,2,0,0,2,28/09/24_Chelsea_Brighton,14,3,4.0
28/09/24,Everton,Crystal Palace,2,1,H,0,1,A,A Madley,8,17,2,5,13,11,5,8,2,1,0,0,1,28/09/24_Everton_Crystal Palace,23,4,13.0
28/09/24,Nott'm Forest,Fulham,0,1,A,0,0,D,J Smith,11,14,1,2,11,15,6,5,2,4,0,0,-1,28/09/24_Nott'm Forest_Fulham,27,7,7.0
28/09/24,Wolves,Liverpool,1,2,A,0,1,A,A Taylor,8,10,3,6,16,8,2,10,2,3,0,0,-1,28/09/24_Wolves_Liverpool,17,5,16.0
29/09/24,Ipswich,Aston Villa,2,2,D,1,2,A,S Attwell,15,7,5,3,10,14,10,0,4,1,0,0,0,29/09/24_Ipswich_Aston Villa,26,1,19.0
29/09/24,Man United,Tottenham,0,3,A,0,1,A,C Kavanagh,11,24,2,10,16,14,5,3,5,3,1,0,-3,29/09/24_Man United_Tottenham,26,6,15.0
30/09/24,Bournemouth,Southampton,3,1,H,3,0,H,M Oliver,14,9,6,3,19,12,7,4,2,5,0,0,2,30/09/24_Bournemouth_Southampton,31,9,9.0
05/10/24,Crystal Palace,Liverpool,0,1,A,0,1,A,S Hooper,9,16,5,4,7,15,3,8,4,2,0,0,-1,05/10/24_Crystal Palace_Liverpool,26,2,12.0
05/10/24,Arsenal,Southampton,3,1,H,0,0,D,T Harrington,29,8,6,2,10,9,13,1,0,3,0,0,2,05/10/24_Arsenal_Southampton,17,3,2.0
05/10/24,Brentford,Wolves,5,3,H,4,2,H,A Madley,19,17,12,6,9,10,10,3,2,3,0,0,2,05/10/24_Brentford_Wolves,20,6,10.0
05/10/24,Leicester,Bournemouth,1,0,H,1,0,H,D Bond,6,17,2,2,12,14,0,9,4,1,0,0,1,05/10/24_Leicester_Bournemouth,21,2,18.0
05/10/24,Man City,Fulham,3,2,H,1,1,D,P Bankes,20,11,7,4,4,10,8,3,2,1,0,0,1,05/10/24_Man City_Fulham,16,2,3.0
05/10/24,West Ham,Ipswich,4,1,H,2,1,H,A Taylor,23,9,13,2,12,6,5,5,0,1,0,0,3,05/10/24_West Ham_Ipswich,24,6,14.0
05/10/24,Everton,Newcastle,0,0,D,0,0,D,C Pawson,8,14,2,3,12,8,0,10,1,2,0,0,0,05/10/24_Everton_Newcastle,19,7,13.0
06/10/24,Aston Villa,Man United,0,0,D,0,0,D,R Jones,11,10,1,4,12,11,6,3,1,5,0,0,0,06/10/24_Aston Villa_Man United,17,7,6.0
06/10/24,Chelsea,Nott'm Forest,1,1,D,0,0,D,C Kavanagh,22,16,8,9,12,11,11,3,6,2,0,1,0,06/10/24_Chelsea_Nott'm Forest,26,4,4.0
06/10/24,Brighton,Tottenham,3,2,H,0,2,A,D Coote,11,13,4,3,14,10,4,7,2,2,0,0,1,06/10/24_Brighton_Tottenham,24,6,8.0
19/10/24,Tottenham,West Ham,4,1,H,1,1,D,A Madley,22,11,7,4,10,15,13,5,1,3,0,1,3,19/10/24_Tottenham_West Ham,31,6,17.0
19/10/24,Fulham,Aston Villa,1,3,A,1,1,D,D England,10,14,4,5,8,11,6,11,3,3,1,1,-2,19/10/24_Fulham_Aston Villa,22,6,11.0
19/10/24,Ipswich,Everton,0,2,A,0,2,A,M Oliver,13,11,2,8,12,10,5,8,1,1,0,0,-2,19/10/24_Ipswich_Everton,24,2,19.0
19/10/24,Man United,Brentford,2,1,H,0,1,A,S Barrott,23,8,11,2,14,5,9,2,2,2,0,0,1,19/10/24_Man United_Brentford,13,3,15.0
19/10/24,Newcastle,Brighton,0,1,A,0,1,A,P Bankes,21,10,6,5,11,9,9,4,2,2,0,0,-1,19/10/24_Newcastle_Brighton,19,2,5.0
19/10/24,Southampton,Leicester,2,3,A,2,0,H,A Taylor,14,18,7,4,10,10,10,6,5,3,1,0,-1,19/10/24_Southampton_Leicester,17,3,20.0
19/10/24,Bournemouth,Arsenal,2,0,H,0,0,D,R Jones,13,6,4,1,12,11,7,4,1,1,0,1,2,19/10/24_Bournemouth_Arsenal,23,3,9.0
20/10/24,Wolves,Man City,1,2,A,1,1,D,C Kavanagh,3,22,2,7,8,5,1,18,4,1,0,0,-1,20/10/24_Wolves_Man City,16,4,16.0
20/10/24,Liverpool,Chelsea,2,1,H,1,0,H,J Brooks,9,12,5,2,12,13,1,6,4,3,0,0,1,20/10/24_Liverpool_Chelsea,32,6,1.0
21/10/24,Nott'm Forest,Crystal Palace,1,0,H,0,0,D,T Robinson,20,20,6,7,9,12,6,6,2,3,0,0,1,21/10/24_Nott'm Forest_Crystal Palace,20,5,7.0
25/10/24,Leicester,Nott'm Forest,1,3,A,1,1,D,C Pawson,11,20,1,5,16,9,6,7,5,2,0,0,-2,25/10/24_Leicester_Nott'm Forest,18,3,18.0
26/10/24,Aston Villa,Bournemouth,1,1,D,0,0,D,A Madley,18,11,8,3,12,14,9,7,7,6,0,0,0,26/10/24_Aston Villa_Bournemouth,29,9,6.0
26/10/24,Brentford,Ipswich,4,3,H,2,2,D,L Smith,20,11,9,5,7,10,5,5,0,1,0,1,1,26/10/24_Brentford_Ipswich,24,7,10.0
26/10/24,Brighton,Wolves,2,2,D,1,0,H,M Oliver,19,14,6,7,12,10,9,6,3,3,0,0,0,26/10/24_Brighton_Wolves,19,6,8.0
26/10/24,Man City,Southampton,1,0,H,1,0,H,T Harrington,22,5,8,2,9,9,12,1,1,3,0,0,1,26/10/24_Man City_Southampton,16,5,3.0
26/10/24,Everton,Fulham,1,1,D,0,0,D,J Brooks,10,14,5,3,8,8,4,2,1,0,0,0,0,26/10/24_Everton_Fulham,20,3,13.0
27/10/24,Chelsea,Newcastle,2,1,H,1,1,D,S Hooper,17,11,7,3,13,16,7,4,6,3,0,0,1,27/10/24_Chelsea_Newcastle,23,6,4.0
27/10/24,Crystal Palace,Tottenham,1,0,H,1,0,H,D Bond,14,11,6,3,16,12,8,8,4,4,0,0,1,27/10/24_Crystal Palace_Tottenham,24,7,12.0
27/10/24,West Ham,Man United,2,1,H,0,0,D,D Coote,12,18,3,5,6,7,6,5,5,1,0,0,1,27/10/24_West Ham_Man United,16,1,14.0
27/10/24,Arsenal,Liverpool,2,2,D,2,1,H,A Taylor,9,9,3,4,14,14,1,3,2,2,0,0,0,27/10/24_Arsenal_Liverpool,24,4,2.0
02/11/24,Newcastle,Arsenal,1,0,H,1,0,H,J Brooks,9,10,4,1,16,18,4,6,4,4,0,0,1,02/11/24_Newcastle_Arsenal,37,6,5.0
02/11/24,Bournemouth,Man City,2,1,H,1,0,H,M Oliver,12,18,6,4,11,6,3,10,2,1,0,0,1,02/11/24_Bournemouth_Man City,18,2,9.0
02/11/24,Ipswich,Leicester,1,1,D,0,0,D,T Robinson,14,20,2,6,11,10,4,6,4,2,1,0,0,02/11/24_Ipswich_Leicester,19,2,19.0
02/11/24,Liverpool,Brighton,2,1,H,0,1,A,T Harrington,16,13,8,5,10,18,10,7,1,1,0,0,1,02/11/24_Liverpool_Brighton,27,3,1.0
02/11/24,Nott'm Forest,West Ham,3,0,H,1,0,H,P Bankes,19,4,6,2,7,9,11,6,1,2,0,1,3,02/11/24_Nott'm Forest_West Ham,22,4,7.0
02/11/24,Southampton,Everton,1,0,H,0,0,D,A Madley,9,16,2,5,14,18,3,6,4,2,0,0,1,02/11/24_Southampton_Everton,25,6,20.0
02/11/24,Wolves,Crystal Palace,2,2,D,0,0,D,A Taylor,11,19,6,7,7,9,3,6,1,2,0,0,0,02/11/24_Wolves_Crystal Palace,20,5,16.0
03/11/24,Tottenham,Aston Villa,4,1,H,0,1,A,C Pawson,16,12,6,1,14,14,6,4,2,0,0,0,3,03/11/24_Tottenham_Aston Villa,26,0,17.0
03/11/24,Man United,Chelsea,1,1,D,0,0,D,R Jones,11,12,4,3,19,14,4,8,6,2,0,0,0,03/11/24_Man United_Chelsea,23,4,15.0
04/11/24,Fulham,Brentford,2,1,H,0,1,A,S Attwell,26,5,12,2,3,10,11,3,2,1,0,0,1,04/11/24_Fulham_Brentford,19,5,11.0
09/11/24,Brentford,Bournemouth,3,2,H,1,1,D,D Bond,12,15,6,3,8,16,6,4,2,4,0,0,1,09/11/24_Brentford_Bournemouth,25,9,10.0
09/11/24,Crystal Palace,Fulham,0,2,A,0,1,A,M Salisbury,13,17,5,7,10,11,1,8,1,1,1,0,-2,09/11/24_Crystal Palace_Fulham,23,2,12.0
09/11/24,West Ham,Everton,0,0,D,0,0,D,S Attwell,11,18,6,4,10,9,7,6,1,2,0,0,0,09/11/24_West Ham_Everton,18,2,14.0
09/11/24,Wolves,Southampton,2,0,H,1,0,H,T Bramall,8,9,4,0,14,12,1,9,1,4,0,0,2,09/11/24_Wolves_Southampton,27,8,16.0
09/11/24,Brighton,Man City,2,1,H,0,1,A,S Barrott,10,15,4,6,12,10,0,4,3,3,0,0,1,09/11/24_Brighton_Man City,18,3,8.0
09/11/24,Liverpool,Aston Villa,2,0,H,1,0,H,D Coote,14,12,5,2,11,15,2,9,0,3,0,0,2,09/11/24_Liverpool_Aston Villa,28,5,1.0
10/11/24,Man United,Leicester,3,0,H,2,0,H,P Bankes,13,6,3,5,9,5,1,5,0,1,0,0,3,10/11/24_Man United_Leicester,19,6,15.0
10/11/24,Nott'm Forest,Newcastle,1,3,A,1,0,H,A Taylor,9,17,3,6,13,6,4,5,1,1,0,0,-2,10/11/24_Nott'm Forest_Newcastle,12,2,7.0
10/11/24,Tottenham,Ipswich,1,2,A,0,2,A,D England,17,8,5,3,10,19,12,2,1,5,0,0,-1,10/11/24_Tottenham_Ipswich,26,6,17.0
10/11/24,Chelsea,Arsenal,1,1,D,0,0,D,M Oliver,17,13,3,3,12,12,4,3,4,2,0,0,0,10/11/24_Chelsea_Arsenal,24,5,4.0
23/11/24,Leicester,Chelsea,1,2,A,0,1,A,A Madley,4,16,1,7,15,12,2,9,4,3,0,0,-1,23/11/24_Leicester_Chelsea,31,7,18.0
